Consuming from topic: traffic.events (Ctrl+C to stop)
[RECEIVED] key=SPEED_CAMERA partition=0 offset=0 event={'event_id': 'b137c55c-d83f-4bc4-b9a7-23b77c144897', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:25.964046+00:00', 'city': 'Lille', 'road': 'A6', 'lat': 48.8061, 'lon': 2.318646, 'speed_limit_kmh': 70, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=19 event={'event_id': '7fb6faa9-a213-4651-8dd5-747296faa03a', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:45.189536+00:00', 'city': 'Lille', 'road': 'A7', 'lat': 48.835146, 'lon': 2.315959, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=20 event={'event_id': '4c48c176-ffeb-4210-a220-1c11a27e89f5', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:46.202406+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.875656, 'lon': 2.384174, 'severity': 'MEDIUM', 'avg_speed_kmh': 6, 'length_m': 944}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=21 event={'event_id': 'd88fa7e0-cab3-4ee4-9675-13ccf3d5111e', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:47.213161+00:00', 'city': 'Paris', 'road': 'A6', 'lat': 48.812856, 'lon': 2.391668, 'speed_limit_kmh': 30, 'direction': 'W', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=22 event={'event_id': '46128365-254a-405d-9439-101b69d5a31d', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:48.225404+00:00', 'city': 'Marseille', 'road': 'N118', 'lat': 48.857845, 'lon': 2.383204, 'severity': 'MEDIUM', 'avg_speed_kmh': 18, 'length_m': 1882}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=23 event={'event_id': '1a1ffa01-0d5e-4e6a-a9a3-7f26a9198049', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:49.239516+00:00', 'city': 'Paris', 'road': 'N118', 'lat': 48.88929, 'lon': 2.270437, 'severity': 'LOW', 'avg_speed_kmh': 18, 'length_m': 2580}
[RECEIVED] key=ACCIDENT partition=0 offset=24 event={'event_id': 'fe2afa53-4c42-4364-a752-ca2bc016d0a3', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:50.249038+00:00', 'city': 'Toulouse', 'road': 'A10', 'lat': 48.84671, 'lon': 2.266593, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=25 event={'event_id': 'a2eca526-c7be-452a-886a-3973ac324055', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:51.263016+00:00', 'city': 'Toulouse', 'road': 'A10', 'lat': 48.874964, 'lon': 2.355326, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=26 event={'event_id': 'c42dfdb6-f504-4ba6-a591-26d2b5ae13ae', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:52.274716+00:00', 'city': 'Toulouse', 'road': 'N118', 'lat': 48.819622, 'lon': 2.258052, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': False}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=27 event={'event_id': 'eadacce7-516f-4fac-853b-e02328756851', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:53.289698+00:00', 'city': 'Toulouse', 'road': 'A13', 'lat': 48.89452, 'lon': 2.307174, 'severity': 'HIGH', 'avg_speed_kmh': 21, 'length_m': 4183}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=28 event={'event_id': 'dd7c59e8-019a-416b-85e1-a698d4133c9c', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:54.303201+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.842014, 'lon': 2.271441, 'severity': 'HIGH', 'avg_speed_kmh': 25, 'length_m': 1647}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=29 event={'event_id': '836bdd38-e848-4c15-aba9-75a7b441d9ed', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:55.318655+00:00', 'city': 'Toulouse', 'road': 'A1', 'lat': 48.811751, 'lon': 2.392187, 'speed_limit_kmh': 110, 'direction': 'W', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=30 event={'event_id': '435ff644-37b7-432e-a927-25c2ad399236', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:56.326982+00:00', 'city': 'Marseille', 'road': 'A1', 'lat': 48.810861, 'lon': 2.272563, 'severity': 'MEDIUM', 'avg_speed_kmh': 5, 'length_m': 3512}
[RECEIVED] key=ACCIDENT partition=0 offset=31 event={'event_id': 'b480cebb-178e-4149-a7ac-164378d82e3f', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:45:57.328051+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.866793, 'lon': 2.261538, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=32 event={'event_id': 'bedf070e-d8eb-416d-9424-0c77baf97a35', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:45:58.341731+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.835514, 'lon': 2.406509, 'speed_limit_kmh': 50, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=33 event={'event_id': 'a32d83ec-6e77-4bc1-b003-89277d625187', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:45:59.353611+00:00', 'city': 'Lyon', 'road': 'A7', 'lat': 48.818435, 'lon': 2.286886, 'severity': 'LOW', 'avg_speed_kmh': 21, 'length_m': 473}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=34 event={'event_id': '94e4081e-5a6e-4e95-b3ca-3ee638d02466', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:00.367273+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.831494, 'lon': 2.353221, 'speed_limit_kmh': 110, 'direction': 'E', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=35 event={'event_id': '57f2a420-7cd3-44ae-bbdd-38611068a4b7', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:01.377150+00:00', 'city': 'Paris', 'road': 'A13', 'lat': 48.850072, 'lon': 2.401645, 'severity': 'MEDIUM', 'avg_speed_kmh': 5, 'length_m': 1840}
[RECEIVED] key=ACCIDENT partition=0 offset=36 event={'event_id': '93ae5472-78e2-4aa2-a622-3837aeb90ecd', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:02.377790+00:00', 'city': 'Marseille', 'road': 'A7', 'lat': 48.820475, 'lon': 2.377983, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=37 event={'event_id': '869be08f-8bd8-4ab1-b9fd-44bd7b7572a0', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:03.391062+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.894374, 'lon': 2.351625, 'severity': 'MAJOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=38 event={'event_id': 'f79f9b09-d793-4fe1-a39f-a094ea209efb', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:04.403035+00:00', 'city': 'Lyon', 'road': 'A1', 'lat': 48.8164, 'lon': 2.413895, 'speed_limit_kmh': 130, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=39 event={'event_id': '9b73a6ba-7db6-47a5-babc-1bdf1d5671e3', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:05.418230+00:00', 'city': 'Lille', 'road': 'A10', 'lat': 48.866662, 'lon': 2.409576, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=40 event={'event_id': '71507572-cb56-4a8b-807a-d71cb96190d5', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:06.429452+00:00', 'city': 'Paris', 'road': 'A13', 'lat': 48.89676, 'lon': 2.252556, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=41 event={'event_id': '2d8b37b6-0408-4b6f-bd84-2d08f1dcb552', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:07.441812+00:00', 'city': 'Paris', 'road': 'A13', 'lat': 48.839459, 'lon': 2.418067, 'severity': 'HIGH', 'avg_speed_kmh': 11, 'length_m': 698}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=42 event={'event_id': 'a4579456-bbf0-42a6-9b02-9d330661eb8b', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:08.453770+00:00', 'city': 'Lyon', 'road': 'A13', 'lat': 48.862241, 'lon': 2.28996, 'severity': 'MEDIUM', 'avg_speed_kmh': 31, 'length_m': 692}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=43 event={'event_id': '5fb75e37-4408-4345-9d15-2b31f67b8abd', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:09.463925+00:00', 'city': 'Marseille', 'road': 'A6', 'lat': 48.880978, 'lon': 2.346503, 'severity': 'HIGH', 'avg_speed_kmh': 10, 'length_m': 4184}
[RECEIVED] key=ACCIDENT partition=0 offset=44 event={'event_id': '5f1c6e9e-6d65-43ce-bcf9-dd312ebb26fd', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:10.475789+00:00', 'city': 'Toulouse', 'road': 'N118', 'lat': 48.817216, 'lon': 2.253395, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=45 event={'event_id': 'ca678981-31e8-4718-b24c-74d2ab35a5eb', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:11.484193+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.865353, 'lon': 2.322244, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=ACCIDENT partition=0 offset=46 event={'event_id': 'e8a54bc9-3ef3-445a-b6af-d594f27104b7', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:12.487909+00:00', 'city': 'Marseille', 'road': 'Peripherique', 'lat': 48.873444, 'lon': 2.302264, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=47 event={'event_id': 'e53aec45-662c-4662-a29e-53a0cbc40687', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:13.498694+00:00', 'city': 'Lyon', 'road': 'A1', 'lat': 48.872048, 'lon': 2.296346, 'severity': 'MEDIUM', 'avg_speed_kmh': 28, 'length_m': 2828}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=48 event={'event_id': '57323aab-a977-4418-8940-c3de453f9e84', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:14.508215+00:00', 'city': 'Lyon', 'road': 'A10', 'lat': 48.816015, 'lon': 2.323758, 'speed_limit_kmh': 30, 'direction': 'W', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=49 event={'event_id': 'd8236204-975d-49a8-b7d9-3cc194d5adcd', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:15.513052+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.810417, 'lon': 2.375737, 'speed_limit_kmh': 30, 'direction': 'N', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=50 event={'event_id': 'fa1b9e28-bb1d-4188-9260-dc4133c86200', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:16.513311+00:00', 'city': 'Paris', 'road': 'Peripherique', 'lat': 48.860747, 'lon': 2.26612, 'severity': 'LOW', 'avg_speed_kmh': 24, 'length_m': 3144}
[RECEIVED] key=ACCIDENT partition=0 offset=51 event={'event_id': '12cadfc8-84f1-477a-8be6-a60c6f8d0a86', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:17.525633+00:00', 'city': 'Lyon', 'road': 'A10', 'lat': 48.877737, 'lon': 2.393968, 'severity': 'MINOR', 'lanes_blocked': 3, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=52 event={'event_id': '07501e79-39ba-480e-a3c8-e2e61c444c50', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:18.531184+00:00', 'city': 'Paris', 'road': 'A6', 'lat': 48.811026, 'lon': 2.394625, 'severity': 'MINOR', 'lanes_blocked': 2, 'injuries_reported': False}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=53 event={'event_id': '619b6047-8c31-4309-8246-c9fe951c909b', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:19.544907+00:00', 'city': 'Lyon', 'road': 'A1', 'lat': 48.850441, 'lon': 2.408167, 'severity': 'LOW', 'avg_speed_kmh': 9, 'length_m': 3027}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=54 event={'event_id': 'efebe44a-d293-4cfb-85ae-c41cbe784659', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:20.560788+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.816925, 'lon': 2.322796, 'speed_limit_kmh': 70, 'direction': 'N', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=55 event={'event_id': '2072c1d4-06f5-4a3b-91cb-3ca667f86fbb', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:21.570832+00:00', 'city': 'Lille', 'road': 'A7', 'lat': 48.840339, 'lon': 2.362035, 'speed_limit_kmh': 70, 'direction': 'E', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=56 event={'event_id': 'af6d6601-1a47-4b6e-8f63-63d118013f43', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:22.570996+00:00', 'city': 'Toulouse', 'road': 'A13', 'lat': 48.853273, 'lon': 2.393034, 'speed_limit_kmh': 90, 'direction': 'E', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=57 event={'event_id': 'cd52be5c-ad9f-4413-a632-687a50d79735', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:23.582819+00:00', 'city': 'Paris', 'road': 'N118', 'lat': 48.874547, 'lon': 2.287138, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': False}
[RECEIVED] key=ACCIDENT partition=0 offset=58 event={'event_id': 'c1dcadbe-f729-46b3-be32-db5e58442316', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:24.593149+00:00', 'city': 'Toulouse', 'road': 'A6', 'lat': 48.890419, 'lon': 2.277156, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=59 event={'event_id': 'a7b05588-8023-4cad-b8c9-3529bbfaa665', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:25.605869+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.803651, 'lon': 2.394892, 'severity': 'HIGH', 'avg_speed_kmh': 5, 'length_m': 3275}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=60 event={'event_id': 'c3a40351-9d95-4003-bdae-33924b76114e', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:26.617439+00:00', 'city': 'Marseille', 'road': 'N118', 'lat': 48.805652, 'lon': 2.402768, 'severity': 'HIGH', 'avg_speed_kmh': 24, 'length_m': 385}
[RECEIVED] key=ACCIDENT partition=0 offset=61 event={'event_id': '2009c758-1599-46bc-a58d-5bc0e006dc45', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:27.630024+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.880254, 'lon': 2.268283, 'severity': 'MINOR', 'lanes_blocked': 1, 'injuries_reported': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=62 event={'event_id': 'cbb97cfc-faf0-47ba-96c2-073043eaefea', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:28.643080+00:00', 'city': 'Paris', 'road': 'A1', 'lat': 48.862027, 'lon': 2.377182, 'speed_limit_kmh': 30, 'direction': 'S', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=63 event={'event_id': '4b494485-82c5-411e-ad1d-4f8922443ace', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:29.646136+00:00', 'city': 'Toulouse', 'road': 'A1', 'lat': 48.86251, 'lon': 2.263579, 'severity': 'MAJOR', 'lanes_blocked': 2, 'injuries_reported': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=64 event={'event_id': '53047f61-1636-4a7b-a8d7-673a76721364', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:30.657281+00:00', 'city': 'Toulouse', 'road': 'A10', 'lat': 48.873342, 'lon': 2.303199, 'severity': 'MEDIUM', 'avg_speed_kmh': 17, 'length_m': 1395}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=65 event={'event_id': 'cbb6b125-a739-41d3-96d7-e10205175d57', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:31.665809+00:00', 'city': 'Lille', 'road': 'A13', 'lat': 48.807035, 'lon': 2.260657, 'speed_limit_kmh': 130, 'direction': 'N', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=66 event={'event_id': '2151bb1f-afe2-4ac2-9c5a-b482621c0f56', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:32.678720+00:00', 'city': 'Toulouse', 'road': 'N118', 'lat': 48.845378, 'lon': 2.286138, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': False}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=67 event={'event_id': '0f92475f-2f7a-4213-9224-f2f9b07141bc', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:33.689476+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.87505, 'lon': 2.353994, 'speed_limit_kmh': 70, 'direction': 'S', 'active': True}
[RECEIVED] key=TRAFFIC_JAM partition=0 offset=68 event={'event_id': 'd7d656ba-aa9e-435c-8762-9fc58d41e159', 'event_type': 'TRAFFIC_JAM', 'ts_utc': '2025-12-20T11:46:34.704142+00:00', 'city': 'Lyon', 'road': 'Peripherique', 'lat': 48.841452, 'lon': 2.258775, 'severity': 'LOW', 'avg_speed_kmh': 35, 'length_m': 2962}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=69 event={'event_id': '867724e6-be37-4773-b14c-ef9f070851ea', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:35.708862+00:00', 'city': 'Paris', 'road': 'A10', 'lat': 48.851288, 'lon': 2.298426, 'speed_limit_kmh': 50, 'direction': 'W', 'active': True}
[RECEIVED] key=SPEED_CAMERA partition=0 offset=70 event={'event_id': 'd9e98310-3961-4ee8-ac18-7169b82d5b42', 'event_type': 'SPEED_CAMERA', 'ts_utc': '2025-12-20T11:46:36.724317+00:00', 'city': 'Lille', 'road': 'N118', 'lat': 48.899584, 'lon': 2.387057, 'speed_limit_kmh': 90, 'direction': 'S', 'active': True}
[RECEIVED] key=ACCIDENT partition=0 offset=71 event={'event_id': 'a158c081-14da-4b49-8cb5-de16e87100cd', 'event_type': 'ACCIDENT', 'ts_utc': '2025-12-20T11:46:37.735201+00:00', 'city': 'Paris', 'road': 'N118', 'lat': 48.870868, 'lon': 2.337393, 'severity': 'MAJOR', 'lanes_blocked': 3, 'injuries_reported': True}
